,jobTitle,skill1,skill2,skill3,skill4,skill5,skill6,jobDescription,Activity,Activite1,Activite2,Activite3,Activite4,Activite5,Activite6,Activite7,Activite8,Activite9,Activite10,skills
416,Consultant power platform,ERP Sage 100,SharePoint,Microsoft PowerApps,Microsoft Power Platform,Project planning,Microsoft Power BI,"-Writing of the specifications
-Development of a website+chatbot
-Preparation of training for learners:Explanatory videos, quizzes with justifications and screenshots...
Working environment:
PowerApps:Canvas and Portal,PowerAutomate,PowerBI,Power Virtual Agents,Sage100c, Microsoft SQL Server","['-Writing of the specifications', '-Development of a website+chatbot', '-Preparation of training for learners:Explanatory videos, quizzes with justifications and screenshots...', 'Working environment:', 'PowerApps:Canvas and Portal,PowerAutomate,PowerBI,Power Virtual Agents,Sage100c, Microsoft SQL Server']",-Writing of the specifications,-Development of a website+chatbot,"-Preparation of training for learners:Explanatory videos, quizzes with justifications and screenshots...",Working environment:,"PowerApps:Canvas and Portal,PowerAutomate,PowerBI,Power Virtual Agents,Sage100c, Microsoft SQL Server",,,,,,"['ERP Sage 100', 'SharePoint', 'Microsoft PowerApps', 'Microsoft Power Platform', 'Project planning', 'Microsoft Power BI']"
417,Business Intelligence Consultant,SQL,business intelligence,"Extract, transform, load (ETL)",Mathematics,data mining,Big data,unknown,['unknown'],unknown,,,,,,,,,,"['SQL', 'business intelligence', 'Extract, transform, load (ETL)', 'Mathematics', 'data mining', 'Big data']"
418,Business Intelligence Engineer,Microsoft Power BI,Talend,SQL Server Integration Services (SSIS),HTML,Cascading Style Sheets (CSS),Visual Basic,unknown,['unknown'],unknown,,,,,,,,,,"['Microsoft Power BI', 'Talend', 'SQL Server Integration Services (SSIS)', 'HTML', 'Cascading Style Sheets (CSS)', 'Visual Basic']"
419,Data Engineer,Azure Cosmos DB,DAX,Powershell,Business Intelligence (BI),"Extract, Transform, Load (ETL)",Data Warehousing,"- Work with Microsoft Information Protection team to generate insights about MIP solutions.
- Extract data and generate useful datasets.
- Create power BI dashboards to make data usefull for analysis.","['- Work with Microsoft Information Protection team to generate insights about MIP solutions.', '- Extract data and generate useful datasets.', '- Create power BI dashboards to make data usefull for analysis.']",- Work with Microsoft Information Protection team to generate insights about MIP solutions.,- Extract data and generate useful datasets.,- Create power BI dashboards to make data usefull for analysis.,,,,,,,,"['Azure Cosmos DB', 'DAX', 'Powershell', 'Business Intelligence (BI)', 'Extract, Transform, Load (ETL)', 'Data Warehousing']"
420,Data analytics,Finance,Marketing,Analytical skills,Project management,data analysis,data visualization,"- Clean data and develop ETL
- Identify KPIs and create board tables to track commercial activity","['- Clean data and develop ETL', '- Identify KPIs and create board tables to track commercial activity']",- Clean data and develop ETL,- Identify KPIs and create board tables to track commercial activity,,,,,,,,,"['Finance', 'Marketing', 'Analytical skills', 'Project management', 'data analysis', 'data visualization']"
421,Business Intelligence Consultant,SAP ERP,Microsoft Power BI,ETL,Windows 10,Microsoft Office,SQL Server Analysis Services (SSAS),"• Development of an ETL process: acquisition, integration and verification of
data
• Data Flow Management: planning and monitoring ETL jobs under SQL Server
• Receipt and verification of data integrity
• Creation of Dashboard on Power BI","['• Development of an ETL process: acquisition, integration and verification of', 'data', '• Data Flow Management: planning and monitoring ETL jobs under SQL Server', '• Receipt and verification of data integrity', '• Creation of Dashboard on Power BI']","• Development of an ETL process: acquisition, integration and verification of",data,• Data Flow Management: planning and monitoring ETL jobs under SQL Server,• Receipt and verification of data integrity,• Creation of Dashboard on Power BI,,,,,,"['SAP ERP', 'Microsoft Power BI', 'ETL', 'Windows 10', 'Microsoft Office', 'SQL Server Analysis Services (SSAS)']"
422,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,['unknown'],unknown,,,,,,,,,,"['unknown', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown']"
423,Business intelligence developer,Business Intelligence,"Extract, Transform, Load (ETL)",Data Visualization,Decision-making informatics,Data Warehousing,Linux System Administration,"Collection of functional and technical requirements.
Understanding and analysis data.
Generate calculation and data management rules with DAX.
Design and development of business intelligence solutions: Power BI.
Analysis of Excels data
Web Scrapping: Octoparse.","['Collection of functional and technical requirements.', 'Understanding and analysis data.', 'Generate calculation and data management rules with DAX.', 'Design and development of business intelligence solutions: Power BI.', 'Analysis of Excels data', 'Web Scrapping: Octoparse.']",Collection of functional and technical requirements.,Understanding and analysis data.,Generate calculation and data management rules with DAX.,Design and development of business intelligence solutions: Power BI.,Analysis of Excels data,Web Scrapping: Octoparse.,,,,,"['Business Intelligence', 'Extract, Transform, Load (ETL)', 'Data Visualization', 'Decision-making informatics', 'Data Warehousing', 'Linux System Administration']"
424,Data Analyst,JIRA,Teamwork,Table,MySQL,Pawer bi,Microsoft SQL Server,Skills: JIRA · Teamwork · Tableau · MySQL · Microsoft Excel,['Skills: JIRA · Teamwork · Tableau · MySQL · Microsoft Excel'],Skills: JIRA · Teamwork · Tableau · MySQL · Microsoft Excel,,,,,,,,,,"['JIRA', 'Teamwork', 'Table', 'MySQL', 'Pawer bi', 'Microsoft SQL Server']"
425,Technical/Operating Consultant IT,Talend,SQL Server Integration Services (SSIS),SQL Server Reporting Services (SSRS),Microsoft Power BI,python,MySQL,"- Piloting Scrum meetings with the various project members.
- Piloting of implementation and integration projects (time and business management solution for HR, SalesForce, B2B...)
- Participate in the different phases of the project (specification of need, design, development, testing, implementation and maintenance).
- Preparation of detailed functional specification (SFD) documents for the client.
- Preparation and follow-up of Backlogs client.
- Transact SQL development of stored procedures.
- Testing and validation of the application.
- UML modelling.
- Assistance and training of users.
- Customer support in the deployment of solutions.
- Optimizing query performance.","['- Piloting Scrum meetings with the various project members.', '- Piloting of implementation and integration projects (time and business management solution for HR, SalesForce, B2B...)', '- Participate in the different phases of the project (specification of need, design, development, testing, implementation and maintenance).', '- Preparation of detailed functional specification (SFD) documents for the client.', '- Preparation and follow-up of Backlogs client.', '- Transact SQL development of stored procedures.', '- Testing and validation of the application.', '- UML modelling.', '- Assistance and training of users.', '- Customer support in the deployment of solutions.', '- Optimizing query performance.']",- Piloting Scrum meetings with the various project members.,"- Piloting of implementation and integration projects (time and business management solution for HR, SalesForce, B2B...)","- Participate in the different phases of the project (specification of need, design, development, testing, implementation and maintenance).",- Preparation of detailed functional specification (SFD) documents for the client.,- Preparation and follow-up of Backlogs client.,- Transact SQL development of stored procedures.,- Testing and validation of the application.,- UML modelling.,- Assistance and training of users.,- Customer support in the deployment of solutions.,"['Talend', 'SQL Server Integration Services (SSIS)', 'SQL Server Reporting Services (SSRS)', 'Microsoft Power BI', 'python', 'MySQL']"
426,Business Intelligence Developer,Management,Product design,Negotiations,New Business Development,Trade strategy,Sourcing,"Project:
Integrate operational and financial data into Tidemark business performance management software and migration reports from Excel to LongView Analytics for optimization.
Tasks:
Collection and analysis of functional needs from the business to produce specification document and data mapping.
的 Automation of data collection, Data flow and storage processes and building pipelines and performing data transformations in Snaplogic
Consolidation and reporting, monthly reforecasting and evenly budgeting of sales and analysis related to this field
Development of operational analysis and strategic Dashboards and reports
Technical environment:
SQL server,Tidemark,Snaplogic,Longview
- Domains of activity:BPM,EPM,Finance,RH,management control..","['Project:', 'Integrate operational and financial data into Tidemark business performance management software and migration reports from Excel to LongView Analytics for optimization.', 'Tasks:', 'Collection and analysis of functional needs from the business to produce specification document and data mapping.', '的 Automation of data collection, Data flow and storage processes and building pipelines and performing data transformations in Snaplogic', 'Consolidation and reporting, monthly reforecasting and evenly budgeting of sales and analysis related to this field', 'Development of operational analysis and strategic Dashboards and reports', 'Technical environment:', 'SQL server,Tidemark,Snaplogic,Longview', '- Domains of activity:BPM,EPM,Finance,RH,management control..']",Project:,Integrate operational and financial data into Tidemark business performance management software and migration reports from Excel to LongView Analytics for optimization.,Tasks:,Collection and analysis of functional needs from the business to produce specification document and data mapping.,"的 Automation of data collection, Data flow and storage processes and building pipelines and performing data transformations in Snaplogic","Consolidation and reporting, monthly reforecasting and evenly budgeting of sales and analysis related to this field",Development of operational analysis and strategic Dashboards and reports,Technical environment:,"SQL server,Tidemark,Snaplogic,Longview","- Domains of activity:BPM,EPM,Finance,RH,management control..","['Management', 'Product design', 'Negotiations', 'New Business Development', 'Trade strategy', 'Sourcing']"
427,Business Intelligence-Analyst,RStudio,Talend Open Studio,Alteryx BI + Visualization Solutions,Microsoft Power BI,Java,Python (Programming Language),Skills: Alteryx BI + Visualization Solutions,['Skills: Alteryx BI + Visualization Solutions'],Skills: Alteryx BI + Visualization Solutions,,,,,,,,,,"['RStudio', 'Talend Open Studio', 'Alteryx BI + Visualization Solutions', 'Microsoft Power BI', 'Java', 'Python (Programming Language)']"
428,Full Stack Engineer,Redash,PostgreSQL,Django,Angular,redash,ClickHouse,Skills: Django · Angular · redash · ClickHouse,['Skills: Django · Angular · redash · ClickHouse'],Skills: Django · Angular · redash · ClickHouse,,,,,,,,,,"['Redash', 'PostgreSQL', 'Django', 'Angular', 'redash', 'ClickHouse']"
429,Business Intelligence Engineer,SAP Analytics Cloud,SAP BW,SAP BI,Symfony Framework,Cascading Style Sheets (CSS),oracle apex,Skills: SAP Analytics Cloud · SAP BW · SAP BI,['Skills: SAP Analytics Cloud · SAP BW · SAP BI'],Skills: SAP Analytics Cloud · SAP BW · SAP BI,,,,,,,,,,"['SAP Analytics Cloud', 'SAP BW', 'SAP BI', 'Symfony Framework', 'Cascading Style Sheets (CSS)', 'oracle apex']"
430,Engineer BI,Data Analysis,Data Visualization,Machine Learning,"Extract, Transform, Load (ETL)",Data Mining,Big Data,unknown,['unknown'],unknown,,,,,,,,,,"['Data Analysis', 'Data Visualization', 'Machine Learning', 'Extract, Transform, Load (ETL)', 'Data Mining', 'Big Data']"
431,Data consultant,Business Intelligence,Microsoft Power BI,Big Data,Hadoop,Data Analysis,MBS,unknown,['unknown'],unknown,,,,,,,,,,"['Business Intelligence', 'Microsoft Power BI', 'Big Data', 'Hadoop', 'Data Analysis', 'MBS']"
432,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,['unknown'],unknown,,,,,,,,,,"['unknown', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown']"
433,Engineer,SQL Database,Data visualization,Statistics,Web development back-end,Front-end development,Relationship databases,unknown,['unknown'],unknown,,,,,,,,,,"['SQL Database', 'Data visualization', 'Statistics', 'Web development back-end', 'Front-end development', 'Relationship databases']"
434,Teacher-Trainer : BIG DATA,Android,Firebase,Talend Open Studio,powerbi,Python (programming language),Hadoop,unknown,['unknown'],unknown,,,,,,,,,,"['Android', 'Firebase', 'Talend Open Studio', 'powerbi', 'Python (programming language)', 'Hadoop']"
435,Business intelligence and ERP engineer,POWERBI,SQL Server Integration Services (SSIS),SQL Server Reporting Services (SSRS),JQUERY,PHP5,HTML5,unknown,['unknown'],unknown,,,,,,,,,,"['POWERBI', 'SQL Server Integration Services (SSIS)', 'SQL Server Reporting Services (SSRS)', 'JQUERY', 'PHP5', 'HTML5']"
436,Trainee,Java,C (programming language),ASP.NET,.NET framework,C#,R,unknown,['unknown'],unknown,,,,,,,,,,"['Java', 'C (programming language)', 'ASP.NET', '.NET framework', 'C#', 'R']"
437,Data Analyst,Teamwork,Data analysis,"Extract, Transform, Load (ETL)",Microsoft Office,Microsoft Power BI,Talend Open Studio,unknown,['unknown'],unknown,,,,,,,,,,"['Teamwork', 'Data analysis', 'Extract, Transform, Load (ETL)', 'Microsoft Office', 'Microsoft Power BI', 'Talend Open Studio']"
438,Business Intelligence Internal,Git,MySQL,Microsoft SQL Server,Oracle DB,PostgreSQL,SQL Server Integration Services (SSIS),"CRM-BPM GeoProd Dashboard Insurance
Steps:
SSIS : Extract data from the MySql database, Transform it as
needed and Load it into the data warehouse
SSAS: Create SSAS Database including the KPIs and measurements
(turnover & number of affairs)
Power Bi : Use a real-time connection to the SSAS database to
present the evolution and the distribution of the turnover and
number of affairs during a selected period of time and filtered by
other factors
Publish the application to web and embed it
Technologies : SQL Server 2014, SSIS, SSMS, SSAS, Navicat,
PowerBi Desktop, Power Bi Service","['CRM-BPM GeoProd Dashboard Insurance', 'Steps:', 'SSIS : Extract data from the MySql database, Transform it as', 'needed and Load it into the data warehouse', 'SSAS: Create SSAS Database including the KPIs and measurements', '(turnover & number of affairs)', 'Power Bi : Use a real-time connection to the SSAS database to', 'present the evolution and the distribution of the turnover and', 'number of affairs during a selected period of time and filtered by', 'other factors', 'Publish the application to web and embed it', 'Technologies : SQL Server 2014, SSIS, SSMS, SSAS, Navicat,', 'PowerBi Desktop, Power Bi Service']",CRM-BPM GeoProd Dashboard Insurance,Steps:,"SSIS : Extract data from the MySql database, Transform it as",needed and Load it into the data warehouse,SSAS: Create SSAS Database including the KPIs and measurements,(turnover & number of affairs),Power Bi : Use a real-time connection to the SSAS database to,present the evolution and the distribution of the turnover and,number of affairs during a selected period of time and filtered by,other factors,"['Git', 'MySQL', 'Microsoft SQL Server', 'Oracle DB', 'PostgreSQL', 'SQL Server Integration Services (SSIS)']"
439,Consultant Bi ,Data analysis,Microsoft Power BI,Talend Open Studio,Engineering,Analytical skills,Microsoft Excel,creation and implementation of a decision support system for ETAP HR management,['creation and implementation of a decision support system for ETAP HR management'],creation and implementation of a decision support system for ETAP HR management,,,,,,,,,,"['Data analysis', 'Microsoft Power BI', 'Talend Open Studio', 'Engineering', 'Analytical skills', 'Microsoft Excel']"
440,Business Intelligence Developer/Data Analyst,Microsoft Power Query,Facebook Ads,Facebook Marketing,Google Analytics,Facebook for Business,SQL Server Management Studio,"Analyze marketing data coming from Google Analytics and Facebook Business:

-Establish a connection between Google Analytics and PowerBI.
-Manipulate Windsor connector to extract data from Facebook Leads, Facebook Ads, and Facebook Insights.
-Extract, Transform and Load data issued from Google Analytics and Facebook with Power Query.
-Generate reports and dashboards that answer Business objectives.","['Analyze marketing data coming from Google Analytics and Facebook Business:', '', '-Establish a connection between Google Analytics and PowerBI.', '-Manipulate Windsor connector to extract data from Facebook Leads, Facebook Ads, and Facebook Insights.', '-Extract, Transform and Load data issued from Google Analytics and Facebook with Power Query.', '-Generate reports and dashboards that answer Business objectives.']",Analyze marketing data coming from Google Analytics and Facebook Business:,,-Establish a connection between Google Analytics and PowerBI.,"-Manipulate Windsor connector to extract data from Facebook Leads, Facebook Ads, and Facebook Insights.","-Extract, Transform and Load data issued from Google Analytics and Facebook with Power Query.",-Generate reports and dashboards that answer Business objectives.,,,,,"['Microsoft Power Query', 'Facebook Ads', 'Facebook Marketing', 'Google Analytics', 'Facebook for Business', 'SQL Server Management Studio']"
441,Business Intelligence Internal,Business Intelligence (BI),ONAP Cubes,R (Programming Language),PostgreSQL,Decision-making informatics,Business intelligence,"Conception and Implementation of a commercial decision-making solution:
• Collect data from the ERP Sage.
• Create database with SSMS. 
• Modeling the Datawarehouse.
• Extract, Transform and Load data with Talend.
• Create a multidimensional cube with SSAS.
• Data Mining algorithms with Python.
• Developer Dashboards using Web technologies: ASP.NET, Angular","['Conception and Implementation of a commercial decision-making solution:', '• Collect data from the ERP Sage.', '• Create database with SSMS. ', '• Modeling the Datawarehouse.', '• Extract, Transform and Load data with Talend.', '• Create a multidimensional cube with SSAS.', '• Data Mining algorithms with Python.', '• Developer Dashboards using Web technologies: ASP.NET, Angular']",Conception and Implementation of a commercial decision-making solution:,• Collect data from the ERP Sage.,• Create database with SSMS. ,• Modeling the Datawarehouse.,"• Extract, Transform and Load data with Talend.",• Create a multidimensional cube with SSAS.,• Data Mining algorithms with Python.,"• Developer Dashboards using Web technologies: ASP.NET, Angular",,,"['Business Intelligence (BI)', 'ONAP Cubes', 'R (Programming Language)', 'PostgreSQL', 'Decision-making informatics', 'Business intelligence']"
442,unknown,Problem Solving,HTML,Cascading Style Sheets (CSS),PHP,JavaScript,Java,unknown,['unknown'],unknown,,,,,,,,,,"['Problem Solving', 'HTML', 'Cascading Style Sheets (CSS)', 'PHP', 'JavaScript', 'Java']"
443,Data-analyst,PHP,PhpMyAdmin,MySQL,HTML5,Java,JavaScript,unknown,['unknown'],unknown,,,,,,,,,,"['PHP', 'PhpMyAdmin', 'MySQL', 'HTML5', 'Java', 'JavaScript']"
444,unknown,Data exploration,Data visualization,Scoreboard,Data Analysis Expressions (DAX),Databases,SQL Database,unknown,['unknown'],unknown,,,,,,,,,,"['Data exploration', 'Data visualization', 'Scoreboard', 'Data Analysis Expressions (DAX)', 'Databases', 'SQL Database']"
445,Director of Studies,SharePoint,Microsoft BI,UML,Microsoft Certified Professional,ASP.NET,ASP.NET MVC,unknown,['unknown'],unknown,,,,,,,,,,"['SharePoint', 'Microsoft BI', 'UML', 'Microsoft Certified Professional', 'ASP.NET', 'ASP.NET MVC']"
446,Founder,Salesforce Object Query Language (SOQL),Python (programming language),SQL,Table,Salesforce,Big data,"- Provide multiple graphic design services.
Check out some of my work and contact details:
https://www.behance.net/medyahyaoui","['- Provide multiple graphic design services.', 'Check out some of my work and contact details:', 'https://www.behance.net/medyahyaoui']",- Provide multiple graphic design services.,Check out some of my work and contact details:,https://www.behance.net/medyahyaoui,,,,,,,,"['Salesforce Object Query Language (SOQL)', 'Python (programming language)', 'SQL', 'Table', 'Salesforce', 'Big data']"
447,Business Intelligence Internal,Predictive Analytics,Predictive Modeling,SAP Products,SAP Analytics Cloud,SAP HANA,Angular,"Skills: Extract, Transform, Load (ETL) · SQL · Business Intelligence (BI) · Data Analysis","['Skills: Extract, Transform, Load (ETL) · SQL · Business Intelligence (BI) · Data Analysis']","Skills: Extract, Transform, Load (ETL) · SQL · Business Intelligence (BI) · Data Analysis",,,,,,,,,,"['Predictive Analytics', 'Predictive Modeling', 'SAP Products', 'SAP Analytics Cloud', 'SAP HANA', 'Angular']"
448,Computer consultant,English,unknown,unknown,unknown,unknown,unknown,unknown,['unknown'],unknown,,,,,,,,,,"['English', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown']"
449,Study completion project,SharePoint,Decision-making informatics,Dimensional modelling,ETL tools,Talend,Python (programming language),"• Development of an entire response management environment with the help of Microsoft Power Platform.
• Reporting, development of dashboards (Power BI)","['• Development of an entire response management environment with the help of Microsoft Power Platform.', '• Reporting, development of dashboards (Power BI)']",• Development of an entire response management environment with the help of Microsoft Power Platform.,"• Reporting, development of dashboards (Power BI)",,,,,,,,,"['SharePoint', 'Decision-making informatics', 'Dimensional modelling', 'ETL tools', 'Talend', 'Python (programming language)']"
450,Data Analyst Internal,SQL,Java,Microsoft Power BI,Data Analysis Expressions (DAX),MySQL,JavaScript,Expensya is an innovative spending management solution to empower CFOs and foster autonomous accounting professionals. We are leader of mid-market new generation solutions.,['Expensya is an innovative spending management solution to empower CFOs and foster autonomous accounting professionals. We are leader of mid-market new generation solutions.'],Expensya is an innovative spending management solution to empower CFOs and foster autonomous accounting professionals. We are leader of mid-market new generation solutions.,,,,,,,,,,"['SQL', 'Java', 'Microsoft Power BI', 'Data Analysis Expressions (DAX)', 'MySQL', 'JavaScript']"
451,Full-stack Developer,SQL Server Reporting Services (SSRS),SQL Server Analysis Services (SSAS),SQL Server Integration Services (SSIS),Advanced Business Application Programming (ABAP),SAP ERP,Python (Programming Language),Skills: TypeScript · React.js,['Skills: TypeScript · React.js'],Skills: TypeScript · React.js,,,,,,,,,,"['SQL Server Reporting Services (SSRS)', 'SQL Server Analysis Services (SSAS)', 'SQL Server Integration Services (SSIS)', 'Advanced Business Application Programming (ABAP)', 'SAP ERP', 'Python (Programming Language)']"
452,unknown,English,Talend Open Studio,Microsoft Power BI,Data Analysis,Python (Programming Language),MySQL,unknown,['unknown'],unknown,,,,,,,,,,"['English', 'Talend Open Studio', 'Microsoft Power BI', 'Data Analysis', 'Python (Programming Language)', 'MySQL']"
453,Decision-making intelligence,unknown,unknown,unknown,unknown,unknown,unknown,unknown,['unknown'],unknown,,,,,,,,,,"['unknown', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown']"
454,Trainee,BI,English,Microsoft Power BI,Talend Open Studio,SQL Server Management Studio,Big data,unknown,['unknown'],unknown,,,,,,,,,,"['BI', 'English', 'Microsoft Power BI', 'Talend Open Studio', 'SQL Server Management Studio', 'Big data']"
455,Internship at the end of the study ,Qlik Sense,Business Intelligence (BI),Data Analysis,Python (programming language),Django,Microsoft Power BI,unknown,['unknown'],unknown,,,,,,,,,,"['Qlik Sense', 'Business Intelligence (BI)', 'Data Analysis', 'Python (programming language)', 'Django', 'Microsoft Power BI']"
456,Data Analyst,Table,Workbench,Alteryx,Visual Studio,Microsoft Power BI,Microsoft SQL Server,Skills: Tableau · Workbench · digital lab · Alteryx · Microsoft Power BI · SQL,['Skills: Tableau · Workbench · digital lab · Alteryx · Microsoft Power BI · SQL'],Skills: Tableau · Workbench · digital lab · Alteryx · Microsoft Power BI · SQL,,,,,,,,,,"['Table', 'Workbench', 'Alteryx', 'Visual Studio', 'Microsoft Power BI', 'Microsoft SQL Server']"
457,Business Intelligence Engineer ,Microsoft Power BI,MongoDB,JIRA,Facebook API,Customer Relationship Management (CRM),"Extract, Transform, Load (ETL)","Skills: Customer Relationship Management (CRM) · Extract, Transform, Load (ETL) · Python (programming language) · Databases · Statistical data analysis","['Skills: Customer Relationship Management (CRM) · Extract, Transform, Load (ETL) · Python (programming language) · Databases · Statistical data analysis']","Skills: Customer Relationship Management (CRM) · Extract, Transform, Load (ETL) · Python (programming language) · Databases · Statistical data analysis",,,,,,,,,,"['Microsoft Power BI', 'MongoDB', 'JIRA', 'Facebook API', 'Customer Relationship Management (CRM)', 'Extract, Transform, Load (ETL)']"
458,Consultant Business Intelligence,Python,PostgreSQL,Agile methods,Microsoft Power BI,Python (programming language),RStudio,Skills: Python · PostgreSQL · Agile methods · Microsoft Power BI · Talend,['Skills: Python · PostgreSQL · Agile methods · Microsoft Power BI · Talend'],Skills: Python · PostgreSQL · Agile methods · Microsoft Power BI · Talend,,,,,,,,,,"['Python', 'PostgreSQL', 'Agile methods', 'Microsoft Power BI', 'Python (programming language)', 'RStudio']"
459,unknown,HTML,Linux,Scrum,REST API,Angular,Front-end development,unknown,['unknown'],unknown,,,,,,,,,,"['HTML', 'Linux', 'Scrum', 'REST API', 'Angular', 'Front-end development']"
460,Internal,Node.js,Teamwork,Symfony Framework,English,Flutter,Firebase,unknown,['unknown'],unknown,,,,,,,,,,"['Node.js', 'Teamwork', 'Symfony Framework', 'English', 'Flutter', 'Firebase']"
461,IoT Engineer,Node-RED,Printed circuit design,Raspberry Pi,Embedded C,Arduino,Decoding sensors,Skills: Decoding sensors · PHP · JavaScript · Lorawan · IoT platforms management,['Skills: Decoding sensors · PHP · JavaScript · Lorawan · IoT platforms management'],Skills: Decoding sensors · PHP · JavaScript · Lorawan · IoT platforms management,,,,,,,,,,"['Node-RED', 'Printed circuit design', 'Raspberry Pi', 'Embedded C', 'Arduino', 'Decoding sensors']"
462,PFE course,unknown,unknown,unknown,unknown,unknown,unknown,"Design and implementation of an intelligent system for public transport 

","['Design and implementation of an intelligent system for public transport ', '', '']",Design and implementation of an intelligent system for public transport ,,,,,,,,,,"['unknown', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown']"
463,Computer Software Engineer,Matlab,Software design,Visual Basic.NET (VB.NET),C++,Database administration,JavaScript,Skills: Object-oriented programming (POO) · Kotlin · SQL,['Skills: Object-oriented programming (POO) · Kotlin · SQL'],Skills: Object-oriented programming (POO) · Kotlin · SQL,,,,,,,,,,"['Matlab', 'Software design', 'Visual Basic.NET (VB.NET)', 'C++', 'Database administration', 'JavaScript']"
464,Embedded Systems Lecturer,Embedded Systems,Microcontrollers,C++,Electronics,Embedded Software,Programming,"Teaching Electronics theory, programmable IC (Microship PICs).
Training based on devkits (PICs, ST32DiscoveryF4, Arduino, Rasberry Pi).
Training on electronics modelling and simulation.
Training on electronics PCB design (Altium Designer and Eagle CadSoft)

Teaching electronics with Active Learning methodology.
Teaching C programming and programming design methodology.

Framing projects : (wireless) sensor network, IoT, cross-protocol bridging (RS485-USB, UART-IrDA, USB-RF...)

R&D : RNA, Fuzzy logics, data acquisition and filtering (digital and analog)","['Teaching Electronics theory, programmable IC (Microship PICs).', 'Training based on devkits (PICs, ST32DiscoveryF4, Arduino, Rasberry Pi).', 'Training on electronics modelling and simulation.', 'Training on electronics PCB design (Altium Designer and Eagle CadSoft)', '', 'Teaching electronics with Active Learning methodology.', 'Teaching C programming and programming design methodology.', '', 'Framing projects : (wireless) sensor network, IoT, cross-protocol bridging (RS485-USB, UART-IrDA, USB-RF...)', '', 'R&D : RNA, Fuzzy logics, data acquisition and filtering (digital and analog)']","Teaching Electronics theory, programmable IC (Microship PICs).","Training based on devkits (PICs, ST32DiscoveryF4, Arduino, Rasberry Pi).",Training on electronics modelling and simulation.,Training on electronics PCB design (Altium Designer and Eagle CadSoft),,Teaching electronics with Active Learning methodology.,Teaching C programming and programming design methodology.,,"Framing projects : (wireless) sensor network, IoT, cross-protocol bridging (RS485-USB, UART-IrDA, USB-RF...)",,"['Embedded Systems', 'Microcontrollers', 'C++', 'Electronics', 'Embedded Software', 'Programming']"
465,SAP Technical Support,Android Studio,Java,Git,Node.js,PHP,UML Tools,unknown,['unknown'],unknown,,,,,,,,,,"['Android Studio', 'Java', 'Git', 'Node.js', 'PHP', 'UML Tools']"
466,Graduation Project,Cybersecurity,Python (Programming Language),Linux,Red Teaming,Wireshark,Penetration Testing,"Design, implementation and establishment of data visualization and automated supervision system for the states of the production lines using ELK Stack.
This solution provides real time monitoring and alerting in case of southden and unexpected event.","['Design, implementation and establishment of data visualization and automated supervision system for the states of the production lines using ELK Stack.', 'This solution provides real time monitoring and alerting in case of southden and unexpected event.']","Design, implementation and establishment of data visualization and automated supervision system for the states of the production lines using ELK Stack.",This solution provides real time monitoring and alerting in case of southden and unexpected event.,,,,,,,,,"['Cybersecurity', 'Python (Programming Language)', 'Linux', 'Red Teaming', 'Wireshark', 'Penetration Testing']"
467,Engineering Student,Artificial Intelligence (AI),Cellular Communications,Spring Boot,MongoDB,C++,Processing,Skills: Artificial Intelligence (AI) · Cellular Communications · Spring Boot · MongoDB · Sensors · Node.js · Angular · Internet of Things (IoT),['Skills: Artificial Intelligence (AI) · Cellular Communications · Spring Boot · MongoDB · Sensors · Node.js · Angular · Internet of Things (IoT)'],Skills: Artificial Intelligence (AI) · Cellular Communications · Spring Boot · MongoDB · Sensors · Node.js · Angular · Internet of Things (IoT),,,,,,,,,,"['Artificial Intelligence (AI)', 'Cellular Communications', 'Spring Boot', 'MongoDB', 'C++', 'Processing']"
468,Backend intern,Java,Flutter,JavaScript,Python (programming language),C++,Android Development,unknown,['unknown'],unknown,,,,,,,,,,"['Java', 'Flutter', 'JavaScript', 'Python (programming language)', 'C++', 'Android Development']"
469,Treasurer,Python (Programming Language),SQL,Apache Spark,MapReduce,Hadoop,Cloudera,unknown,['unknown'],unknown,,,,,,,,,,"['Python (Programming Language)', 'SQL', 'Apache Spark', 'MapReduce', 'Hadoop', 'Cloudera']"
470,Chief Operating Officer,Project Management,Python,Machine Learning,Android Development,iOS Development,Cellular Communications,unknown,['unknown'],unknown,,,,,,,,,,"['Project Management', 'Python', 'Machine Learning', 'Android Development', 'iOS Development', 'Cellular Communications']"
471,"GreenCity, Development of Web Mobile based Application",.NET Framework,TensorFlow,Angular,Big Data,Full-Stack Development,Data Analysis,"I performed a training with ""SSS Innovation"" startup to develop an environmental/civil problems and news reporting/consulting application with Web technologies for android devices.","['I performed a training with ""SSS Innovation"" startup to develop an environmental/civil problems and news reporting/consulting application with Web technologies for android devices.']","I performed a training with ""SSS Innovation"" startup to develop an environmental/civil problems and news reporting/consulting application with Web technologies for android devices.",,,,,,,,,,"['.NET Framework', 'TensorFlow', 'Angular', 'Big Data', 'Full-Stack Development', 'Data Analysis']"
