,jobTitle,skill1,skill2,skill3,skill4,skill5,skill6,jobDescription,headline,jobTitle2,jobDescription2,currentJob,pastJob,job
15,Member,StarUML,PL/SQL,PhpMyAdmin,Spring Boot,Machine Learning,Unsupervised learning,unckown,IT Engineering Student,An IOT and Embedded system internal,Industry 4.0 department,unckown,unckown,unckown
16,unckown,Android Development,Python (Programming Language),OpenCV,NestJS,Angular CLI,C,unckown,Machine learning & IoT ,unckown,unckown,unckown,unckown,unckown
17,Student Engineer,Internet Protocol (IP),Agile methods,TinyMl,Web development,Linux System Administration,Java,Skills: Symfony Framework,"Computer Engineer, Embedded system, IoT, TinyMl, Robotic, Deep learning, Ai ",Trainee,Skills: TinyMl · Python (programming language) · Deep learning,unckown,unckown,unckown
18,Student Engineer,Spring Boot,Ansible,Keras,Telecommunications,Git,TensorFlow,Skills: Spring Boot · Ansible · Keras · Telecommunications · Software Development,Student in the 5th grade in Software development and IOT specialty at ESPRIT looking for an end-of-study internalship,Summer Internship,Assistive device for blind people,unckown,unckown,unckown
19,IoT Internal,Hyper-V,Windows deployment services,Microsoft Deployment Toolkit,Cisco Systems Products,Graphic design,Bash,"As an internal in this group, I was able to rediscover embedded systems on a project that involves public lighting:
establishment of the communication infrastructure between the IOT devices (master and slave systems)
implementation of a complete routing algorithm and message processing 
field testing of NRF24 + HC12 systems 
Optimization and implementation of the system on the ESP32 and ATMEGA328.",AI engineering student,IT internal,"Create an Operating System Deployment Server
with Windows Server 2019, using WDS and MDT.
Understand and configure Active Directory, DHCP and DNS.
Create and configure a virtual switch for virtual machines
On Hyper-V.
Install and configure the PUTTY for connecting to virtual machines in
virtual machines in CORE.",unckown,unckown,unckown
20, Member Projects Department ,C,GNU/Linux,Problem Solving,Strategy,Embedded Systems,JavaScript,unckown,IoT & DevOps Enthusiast & Embedded Systems,Mobile Developer Trainee,"The project consists of developing a Mobile application that allows the user to verify and record data from the four different tests, Resistance Test, Thermal Stabilisation Test, Air Presence Test and Waterproof Test, each test has its own attributes and mathematical equations. 
FrontEnd : Flutter 
Backend : NodeJs",unckown,unckown,unckown
21,Senior Embedded Software Engineer,Firmware,Real-Time Operating Systems (RTOS),Hardware,PostgreSQL,Jenkins,Microcontrollers,Skills: Firmware · Hardware · PostgreSQL · Jenkins · Embedded Systems · C (Programming Language) · Internet of Things (IoT) · C++ · Python (Programming Language),Senior Embedded System Consultant/IoT Product Designer,Senior Embedded System Engineer,Skills: Firmware · Microcontrollers · Embedded Software · Embedded Systems · C (Programming Language) · C++ · Embedded Linux,unckown,unckown,unckown
22,Director - BSE,Telecommunications,Wireless,Team Leadership,Program Management,Project Management,Software Development,Skills: International accreditations (ABET/AACSB),Director ESPRIT-Tech (RDI) ,Director ESPRIT-Tech (RDI),"Overseas the Research, Development and Innovation Unit at ESPRIT ",unckown,unckown,unckown
23,Trainee,C (programming language),Microsoft Windows,Liability,Research,Java,Windows Server,Skills: MERN Stack · Digital Ocean ,Software engineering Student,Computer technician ,"Design of a Network Architecture
• Putting in place a network infrastructure
two remote sites using VPN and
Deploying Protocol (IPSEC) and Services on
trace packet,",unckown,unckown,unckown
24,Flutter Developer & Mobile Software Engineer,Digital law,Flutter,Android Development,Unity,Test Driven Development,Software Development,unckown,PhD Candidate: Digital Law Specialist: Fluter Developer: Mobile Software Engineer,Graduation Internship,unckown,unckown,unckown,unckown
25,Business Intelligence Internal,Telecommunications,Microsoft Word,Strategic planning,Business intelligence,Big data,Data analysis,unckown,Engineering student in ERP-Business Intelligence,Business Intelligence Student ,unckown,unckown,unckown,unckown
26,Software Engineer,Java,JavaScript,C (Programming Language),Embedded Systems,Wireless Sensor Networks,Internet of Things (IoT),unckown,Software Engineer,Smart Solenoid Valve,"design hardware circuit for connecting multiple types of valves to the micro-controller.
developing the necessary embedded software for remote controlling, timer application, cloud communication (google).. using FreeRtos and esspressive.
implementing google cloud services to connect multiple devices to the solution. (firebase, IOT Core, http functions..)
developing end user mobile application with flutter framework for device data visualization and control.",unckown,unckown,unckown
27,AI Software Engineer,Angular,Node.js,JavaScript,PYTHON,Django,PHP,unckown,Engineering Student,Full Stack Developer,unckown,unckown,unckown,unckown
28,Front-end Developer,Unit test,Kendo IU,TypeScript,JIRA,RxJS,TeamCity,"As a member of the Digital Solutions Team within FNZ Group, I have a hand in:
• Migration of libraries to the latest version of Angular.
• Migration of libraries from AngularJs to Angular.
• The Development of new Angular libraries and their integration with AngularJS.
• The evolution and maintenance of Banker's Front, E-Banking and their libraries.
• Code reviewing.
• Writing unit tests.
• Providing support to my teammates.
• Releasing new versions of the different libraries.",Front-End Engineer at FNZ Group,Study completion project,Design and development of banking modules in Banker's Front and E-Banking applications.,unckown,unckown,unckown
29,Integration Consultant,Spring Security,Spring MVC,Docker,AngularJS,June,Maven,unckown,Integration Consultant,Software Engineer,Designed and built web applications ,unckown,unckown,unckown
30,Summer training,React.js,AngularJS,Node.js,MongoDB,Express.js,Spring Boot,unckown,Engineering student in Computer Science,Internship at the end of studies ,unckown,unckown,unckown,unckown
31,Embedded Software Developer,CAN data bus,C (programming language),INCA,Tortoise SVN,Scrum,Shell Script,"* Implementation the software requirements for the application of the electric motor control platform. 
* Development, Debugging and Task Scheduling with an ARM Cortex CPU under Linux environment. 
* Generate product variants to meet individual customer requirements.
* Implementation Model blocks using Matlab / Simulink: (C code generation, HDL code generation). 
* Developer test projects (unit,integration and functional) and correct bugs.
* create, update and test A2L calibration files using INCA(ETAS tools ).
* implement a PROF configuration for the flash programming using INCA(ETAS tools ).
* Work following the ""Scrum Agile"" methodology",Embedded Software Developer at focus -corporation,embedded system internal ,"CAN bus data acquisition system and fault diagnostic tools for engine
control board

Embedded Linux: Building a linux kernel from scratch
equipped with a Qt library and a SocketCAN driver. Preparation of a cross-compilation toolchain for an embedded RaspberryPi 3 MB target. 
Development of a Qt / c ++ module to handle CAN frames.
 Development of a Qt / c ++ module to control an electric motor control board through a CSV type configuration
Run.
 Development of a Qt / QML Dashboard to viewize the data retrieved from an electric motor control board. 
Embedded technologies: Buildroot, Linux, RaspberryPi 3 Model B, PiCAN2 module. Others : Shell Script, Qt, C/C++, QML/JS",unckown,unckown,unckown
32,Software consultant,Software tests,Software development,Software testing,Machine learning,Web services,Cloud Computing,unckown,Software Consultant at Capgemini Engineering,IOT Developer internally ,Skills: Software tests,unckown,unckown,unckown
33,Junior Consultant,Automation,Manual Testing,Sustainability,Python (Programming Language),Battery Electric Vehicle (BEV),Battery Management Systems,Skills: Automation · Manual Testing · Python (Programming Language) · Battery Electric Vehicle (BEV) · Battery Management Systems · Jira · Jenkins · ECU-Test · Automotive testing,Automotive Tester at Capgemini Engineering on behalf of BMW group,Project Internal,unckown,unckown,unckown,unckown
34,Professional development,Node-RED,Scrum,AutoCAD Architecture,Adobe Illustrator,LaTeX,Hadoop,"Within the 'Piland' start-up, I created a service and customer platform that helps clients to reach the desired service Giver using node js and react js, which helps me to improve my skills in web development.","Computer Engineering Student ""Iot Specialty""的 actively seeing for END OF STUDY intership",unckown,unckown,unckown,unckown,unckown
35,full stack Angular and Dotnet Core developer,Full-Stack Development,Agile Methodologies,DevOps,Mobile Applications,Software Development,Web Development,Sodexo mission,Software Engineer.NET Core / Angular,Full Stack Engineer,angular developer,unckown,unckown,unckown
36,Embedded Software Tester,Unit Testing,ESP32 Microcontrollers,Internet of Things (IoT),STM32,Intellectually Curious,Raspberry Pi,"Today, I am working as an Embedded Unit Tester in the aeronautics sector at Capgemini Engineering, performed tasks:
• Development of tests, matching to low-level requirements and the MC/DC technologies.
• Development of test scenarios in ada scripting language on IBM Rational Test RealTime.
• Programming language: C/C++, Java, embedded C.
• Tools : Visual Studio Code, Eclipse, IBM Rational Test Realtime, Trace32 Debugger, testlink.
• Configuration Management : SVN, GIT, Rational Synergy, CVS.
• Operating System: Windows, Ubuntu.",Embedded Software Tester at Capgemini Engineering,unckown,unckown,unckown,unckown,unckown
37,Embedded System Developer - Orange Digital Center,lora,MongoDB,Spring Boot,GraphQL,C++,LoraWan,Orange Summer Challenge,Embedded systems & IoT Engineer,Internal,"Realization of a myoelectric hand prosthesis that is able to imitate the functions of the human hand.
Controlled by electrical impulses delivered to a microprocessor.
Shock resistant.
Good reaction time between the desire for movement and the movement itself.
Good product mobility.
#3D_print #PLA #Electromyography #arduino",unckown,unckown,unckown
38,unckown,C++,Java,Python,Arabic,English,French,unckown,Engineering Student,unckown,unckown,unckown,unckown,unckown
39,Full stack and AI developer,JavaScript,MySQL,Deep Learning,Machine Learning,PyTorch,Python (Programming Language),Skills: JavaScript · MySQL · Deep Learning · Machine Learning · PyTorch · Python (Programming Language) · TensorFlow · PHP · Artificial Intelligence (AI),Computer science engineer,Full-stack Developer,In charge of the development of a web application for the preventive maintenance of industrial machines.,unckown,unckown,unckown
40,Embedded Software Test Engineer on behalf of Continental Aautomotive,Telecommunications,Network architecture,Internet of Things,Telecommunications infrastructure,Linux,Raspberry Pi,"• Perform a technical analysis of customer complacent based on System logs and problem report description.
• Analyzing system logs and identifying if the root cause is software or hardware
• Suggested the appropriate solution to the customer.
• Pinpoint the problems and proposes to fix in order to improve it
• Document the team's process
• Update the Diagnostic Internal Tool
• Test activities for embedded applications in the automotive field.
• Establishment of the continental test environment.
• Specifications Review: Analysis of functional and technical requirements.
• Manual tests on Continental test benches
• Bugs identification and problems Reports
• Functional, non-functional, regression, confirmation tests
• Designing and writing tests based on customer specifications.
• Identifying and transferring software issues into the issue tracking system (JIRA) with supporting log files and data
• Analysis and documenting test results as well as test progress reports
• Developing and automating tests for software validation

--------------------------------------------------------------------------------
• Tested features:
WiFi, Emergency Call, AM/FM, DAB...
--------------------------------------------------------------------------------
• Technical environment:
- Hardware: CANcaseXL – Vector
- Tools: IBM Rational DOORS, SiTemppo, ATP, CANalyzer/CANoe, JIRA, Putty, DLT viewer.",Embedded Software Test Engineer on behalf of Continental Aautomotive in Focus Corporation,EOF internal,"develop a solution for the improvement of the consumer experience in FullStack JS
-Realization of a prototype (smart console, Python, Raspberry pi, ip camera, linux)
-Set up of a web platform (M.E.R.N S.T.A.C.K)
- Development of the backend and frontend part of the platform
- Writing of technical specifications, and configuration

Technology:

- NodeJS, React (TS), JavaScript, HTML 5,CSS, NPM, GitHub, Jenkins, Lambda, S3, SQS, NodeJs,REST API, JSON, JSON web Token, REDUX, React Hooks...",unckown,unckown,unckown
41,iOS Developer,iOS Development,Android Development,Native reaction,Java,Git,HTML5,unckown,devlopper ios at Accretio,Intern in mobile development IOS,unckown,unckown,unckown,unckown
42,Research And Development Engineer,unckown,unckown,unckown,unckown,unckown,unckown,unckown,R&D engineer: Embedded Systems: IOT: Mechatronics: Robotics: UAV,Research And Development Engineer,unckown,unckown,unckown,unckown
43,(software development engineer at McPhy),C,C++,Engineering,Project management,Programming,Electrical engineering,"Context: As part of new activity in McPhy's IT department, I joined the development and research team to improve the company's services.
Realization: 
Gateway Configuration for collecting hydrogen station data and storing it in the Cloud.
update the old architecture to a new one more dynamic that matches to an IoT model.
Software development of a web application in Full Stack React js frontend, Flask for the server part, and MongoDB as the database.
Technical environment: NPython, JavaScript, GCP, React, Flask, MongoDB.",Junior Software Developer and IoT Engineer,Junior Software Engineer,Err:510,unckown,unckown,unckown
44,unckown,Arduino IDE,Integrated Linux System,Electronics,C (programming language),linux,AngularJS,unckown,IOT Systems and services Engineering Student,unckown,unckown,unckown,unckown,unckown
45,Frontend Web Developer,Web development back-end,Android Development,iOS Development,Software development,machine learning,Node.js,unckown,Web and mobile development engineer,Mobile Developer,unckown,unckown,unckown,unckown
0,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown
1,"Internship Coordinator NIDS (Network, Infrastructure and Data Security) major",Cybersecurity,Internet of Things,Network Security,Cloud Computing,Telecommunications,Virtualization,"- Nurture collaboration between the university (students and supervisors) and the industry
- Advise and assist students in the construction of their international research tools (CV and cover letter writing assistance) and in the reflection on their professional project;
- Assign probation supervisors
- Provide professional for oral presentations
- Monitor career integration issues, labor markets, new professions and opportunities
- Maintain contact with supervisors by providing technical support as required.","Cyber Security Consultant/Engineer-IT and CyberSecurity Trainer & Researcher-ISO/IEC 27001 Lead Auditor-Internship Coordinator NIDS (Network, Infrastructure and Data Security) major at Esprit (Honoris Universities)",Research Assistant Professor / Trainer,"Readings: Computer Systems: Unix,Networks, Cryptography, Secure Coding,Virtualization and Containerization, DevSecOps, 
 Mentoring : 的SOC implementation"",的Gesture Analysis for Office 365"", ""Firwalling Solutions (Fortinet)"",的Cloud Security Solution"", ""Securing CICD pipeline""
Project: ISO 27001 based SOC(Security Operation Center) Deployment and Reviewing",unckown,unckown,unckown
2,Cyber Security Engineer,Information Security,Network Engineering,Fortinet,Networking,Cybersecurity,Linux,Skills: Information Security · Network Engineering · Fortinet · Networking,Network Security Engineer,Cyber Security Internal,"-Use kali tools to do penetration testing on metasploitable
-Using Splunk to analytics log files in order to detect cyber-attacks. 
-Apply threats modelling on company servers with IriusRsik",unckown,unckown,unckown
3,Network Security Engineer,SIEM/SOAR,IDS/IPS,Linux,Cybersecurity,Python,Wireshark,unckown,Cyber Security Engineer - CEHv11,Cyber Security Engineer,unckown,unckown,unckown,unckown
4,System & IT Infrastructure Engineer,Information Technology,CentOS,Red Hat Linux,VMware vSphere,Python (Programming Language),Linux System Administration,"Ensure the implementation of IT infrastructure solutions.
Participate in the upgrading of the information system
Support our customers at the level of technical support, incidents (reproduction, analysis, diagnosis, circumvention and resolution)
Participate in the evolution of the platform architecture
Environment: Linux/Unix, Windows and VMWare, IBM storage systems and SAN networks, Sauvegarde (Veeam, TSM...), HMC, AIX, PowerVM, DLPAR, NIM,WPAR, SMIT, VIOS, LVM, SPP",System Network & Security Engineer,System Network Security Engineer,"environment :platform windows(7, 10), windows server 2016, 2012, Pfsense, DMZ, Buckup(veeam), eyebeam, Mac os, SCCM, Office 365, ASA",unckown,unckown,unckown
5,Network and Security Engineer,Network security,Security,Linux,TCP/IP,Networking,Network administration,unckown,Network engineer: Datacenter: Cisco ACI,Network engineer,"CISCO ACI
MPLS
DMVPN
CISCO ISE
WIRELESS",unckown,unckown,unckown
6,Network and Security Engineer,Open Shortest Path First (OSPF),Security,Multiprotocol Label Switching (MPLS),L3VPN,BGP,Routers,"IP/MPLS Backbone network L3 support
• Incident handling of cases reported by the N2 team
• Make health check and maintenance in operational condition of the Backbone
Engineering
  PROJECTS:
• Study and implementation of the CGNAT solution on Fortigate Firewall.
• Study and design of the evolution and extension of the L2 Switching Backbone.
• Implementation of IP/MPLS solutions (Intranet and Internet) for customers.
• Implementation of secure IPsec links (site-to-site) or SSL VPN (client-to-site).
• Drafting of HLD, LLD and reverse engineering documents.
• Set up new collection gateways with ISPs: EBGP peering session configuration and L2TP tunnel setup.
• Supervision and monitoring of traffic status on interconnections and planning of preventive/curative actions in case of saturation and load balancing.
• Study and implementation of APN solutions for partners.   
• Implementation of a VDOM solution for clients and implementation of filtering rules (web filtering) and specific security for each client (VPN SSL).
• Development of scripts in Python.","Network and Security Engineer, NSE4-JNCIS SP and CCNA R&S",IP NETWORK ENGINEER,"• Provide preventive and curative support for the network (customers and backbone) and platform while respecting the contractual SLAs.
• Ensure the diagnosis and resolution of incidents, tracing of malfunctions.
• Report non-optimized configurations and architectures to engineering and ensure the cleanup of sleeping configurations.
• Configuration and troubleshooting of Cisco, Juniper and Huawei Routers.
• Handle company customer complaints on all types of services (internet, intranet, international connection, etc.)
• Participate in the development of incident management procedures and the handling of customer complaints as well as the intervention instructions for multi-service teams.
• Managing backbone and company customer modification requests related to equipment, functionality and architectures and following up on technical complaints with the various manufacturers.
• Establishment ""quality reporting"" related to network equipment and/or platforms.
• Check and archive customer, network and platform configurations and guarantee the integrity of information.
• Participate in the integration and configuration of the MSSP project (Fortinet).
• Development python scripts to automate configurations on Backbone.",unckown,unckown,unckown
7,Network security engineer,Network architecture,Virtualization,Management,Wireless,VoIP,3G,unckown,"Network & Cybersecurity Engineer, DevOps, CCNP, PCNSE",Network Security Engineer,unckown,unckown,unckown,unckown
8,Automotive Cyber Security Engineer,java,Cybersecurity,Agile Methodologies,HTML,SQL No,Node.js,"• Carrying out risk and threats analysis in close cooperation with Expleo的s domain and security experts 
   for our customers.
• Review of demand design solutions with regard to security requirements.
• Support and advice for our customers in the secure implementation of security concepts.
• Development and application of tests and vulnerability analyses to prove the correct implementation of 
   the security requirements.",Cyber security engineer,Co-founder,"SAFE'NES is a mobile application that offers a convenient solution accessible to all smartphone users in order to combat sexual harassment specifically and violence in public spaces generally.
This explains the choice of the name of our application ""Safe"" which stands for ""Safety"" in English and ""nes"" which means ""people"" in Arabic.",unckown,unckown,unckown
9,Network Security Engineer,firepower,Bluecoat Proxies,Palo Alto Networks,TCP/IP,VPN,OSPF,unckown,Network & Security Engineer,Security infrasructure Consultant,unckown,unckown,unckown,unckown
10,Senior Security Administrator,Active Directory,VoIP,Management,Routing,Project management,Telecommunications,unckown,Security Systems Engineer,Network security engineer,unckown,unckown,unckown,unckown
11,Network Security Internal,Palo Alto Networks,Network Design,Routing,Troubleshooting,LAN-WAN,Microsoft Office,"End of studies internship, had the responsibility of completing a project containing the following main functions:
- Fully functional and modular python flask web interface
- Management of network nodes
- Automation of Cisco API for mass configuration of enterprise-scale networks",Information Technologies and Data Security Engineer Graduate,Internal,"- Created the only CentOS mirror available in Tunisia
- Pentested the new website interface for the company
- Pentested the various services including Zimbra and cPannel
- Assisted webdev team in securing the new website for the company
- Audited security concerns",unckown,unckown,unckown
12,IT Manager,SQL,Fortinet,Firewalls,Android,JavaScript,Microsoft Exchange,"- LAN and WLAN integration (D-Link, Huawei, TP-Link)
- Analog/IP CCTV technologies (Hikvision, Dahua,D-kink...)
- Alarm systems and anti-intrusion (Focus)
- Time expectation management system (ZKteco)
- Structured cabling (Copper, Optical Fiber)
- Wireless interconnection (D-link, TP-Link)
- PBX (D-link)
- Access Control (ZKteco)",Network systems and security engineer,Systems and Networks Administrator,"Operation and supervision of different client infrastructure
Setting up, configuration and support Active Directory 
Operation and supervision of different client infrastructures (server, workstations, network). 
Network support, servers and workstations.
Setting up and monitoring backups.
Ensure technological watch.",unckown,unckown,unckown
13,Junior Network and Security Engineer,Intrusion test,Vulnerability assessment,Firewalls,Information security,Engineering,Team spirit,unckown,Cybersecurity and R&D Engineer,CyberSecurity Internal,"- The design and implementation of a security operational centre solution that contains a firewall, an MEIS, an IPS solution, a network monitoring tool, a Threat Intelligence tool and an incident management tool.
- Do penetration tests to find out how SOC reacts during an attack.",unckown,unckown,unckown
14,Vulnerability Management Analyst,Penetration Testing,Splunk,Cloud Security,Computer security,Network security,Access control,unckown,"Network Infrastructure and Data Security Engineer, Vulnerability Management Analyst, Kaspersky Certified Professional",Information Security Consultant,"Ensure the availability, integrity, confidentiality and traceability of information.
Participate in internal audits, external audits and 27001 certification audit.
Operational security (EDR, MDM, slopest, security audit and configuration...).
Organizational security.
Security of the SAP environment and participation in the implementation of the RCMP module.
Threat hunting, slopesting and proactive security measures.
Resolution of user security requests, managing access.
Manage IT Resource Protection (Endpoint).
Monitoring and following-up of reports (protection state reports, real-time alerts, etc.)).
Perform backups and restores.
Carry out audit missions on critical resources (confidential documents, servers, etc.)).",unckown,unckown,unckown
15,Network and Security Engineer,Firewalls,VMware,TCP/IP,Palo Alto Networks,Cisco Technologies,Virtualization,unckown,Network and Security Engineer,System and Security Engineer,unckown,unckown,unckown,unckown
16,Senior Network Security Consultant,Cisco Technologies,Switch,Routing Protocols,CCNA,Routing,Cisco IOS,unckown,Network and Security Engineer, Network Security Engineer,unckown,unckown,unckown,unckown
17,Network Security Engineer,Network engineering,Firewalls,Telecommunications,Network architecture,Integration,Computer security,unckown,Network Security Engineer at Capgemini,Network Security Engineer,unckown,unckown,unckown,unckown
18,Cyber Security Engineer,Linux,java,Service-Oriented Architecture (SOA),Telecommunications,Object-oriented programming (POO),Spring Boot,unckown,Cybersecurity and R&D Engineer,Cyber Security Internal,unckown,unckown,unckown,unckown
19,Security and Network Engineer,French,Packet Tracer,Kali Linux,Security of web applications,Firewall of web applications,Cybersecurity,unckown,Network and Security Engineer,PFE trainee,"During this internship, I am called upon to set up within SOC a WAF architecture (Rohde&Schwarz WAF) and an AntiSpam architecture (MailinBlack), simulate attacks and test the two solutions on real infrastructures.",unckown,unckown,unckown
20,Information System Security Engineer,Oracle Database,Java,MySQL,HTML,PL/SQL,Ofbiz,unckown,Cyber Security Engineer ,PFE Internship in Cybersecurity,The feasibility and optimization study of the deployment of a SOC. ,unckown,unckown,unckown
21,CRM Operations Engineer,Incident Investigation,Incident Handling,Event Management,Web Services API,Oracle Database,Automation,"#Mobile Sales Application (MSA) Engineer

#CRM, Integrated Business Solution Back Office engineer 


@Zain KSA Project",SecOps Engineer,Cyber Security Engineer,"# Standing up an open-source Security Incident Response Platform (SIRP) which allows:

Real-time incident response

Log sound and analysis.

Real-time alarm generation.

IoC (Indicator of Compromise) enrichment.

HIDS (host-based intrusion detection system).

Threat intelligence.


key words: Wazuh, ELK, MISP, Cortex, The Hive, ElastAlert, OSSEC, REST API, CIRCL, Yelp, python, play framework",unckown,unckown,unckown
22,Technichal engineering solutions,Customer Satisfaction,Customer Support,Team Spirit,Internet Protocol Suite (TCP/IP),Firewalls,huawei,"Team collaboration and customer center.
Using problem-solving and communication skills to ensure customer satisfaction.
Handling customer claims and efficiently solving them (IP networks related)",Technical solutions engineer at Hewlett Packard Enterprise,Network Security Engineer,"Network fleet maintenance for customers.
Detect and extract Customer needs.
Technology watch and regular proposals for new solutions
Integrate new solutions (configuration of switches, routers, Firewalls, access points, etc.).",unckown,unckown,unckown
23,CTI Analyst,Python (programming language),Psychology,Scrapy Framework,Data grating,Extraction of web content,Cyber Threat Intelligence (CTI),unckown,Cyber Security Engineer at SAP Labs,Cyber Security Engineer,Conception of a PoC of the automated detection of social engineering attacks ( phishing emails ),unckown,unckown,unckown
24,Pre-sals Engineer,MySQL,SQL,Java,Symantec Endpoint Protection,Proxys Bluecoat,unckown,"- Qualification of customer need
- Placing POCs (Security & Network) to show the relevance of ARROW's solutions adapted to the needs of each Partner/client.
- Support to the commercial teams (BDM, Inside Sales) of ARROW in the development and construction of offers
- Marketing support to be built at technical level
- Active participation in the establishment of ARROW seminars or other marketing events to promote the commercial and technical added value of ARROW 
- Maintenance of the manufacturer/ARROW relationship on the technical side
- Support for the creation of product sheets, ARROW marketing documents, in collaboration with Brand Manager
- Communication and development of a relationship with the technical teams of our customer partners and manufacturers/publishers
- Maintenance of the required level of certification according to the strategic axes produced by ARROW
- Technology Watch
- Animation of the ARROW customer network by participating/organising technical actions in pairs with our commercial teams.",Network Engineer,SOC Analyst,unckown,unckown,unckown,unckown
25,Network and Technical Support Engineer,SIP Trunking,VPN MPLS,Bridge/NAT,network nodes configuration,Digital Subscriber Line Access Multiplexer (DSLAM),Stress Management,Skills: SIP Trunking · MPLS VPN · Bridge/NAT · networks nodes configuration · Digital Subscriber Line Access Multiplexer (DSLAM) · Stress Management · Communication · Routing Protocols,Looking for a new opportunity,DevOps Engineer,Skills: OS scripting · Networks · Continuous Integration and Continuous Delivery (CI/CD) · System Configuration · Information Security · Cloud Configuration · Shell Scripting,unckown,unckown,unckown
26,Network architect ,Cisco Technologies,Network Security,Networking,Virtualization,Cloud Computing,TCP/IP,unckown,Network & Security Engineer,Network engineer,unckown,unckown,unckown,unckown
27,DevSecOps Engineer,Computer security,Java,Software development,Event and security information management,Java Enterprise Edition,Security Information and Event Management (SIEM),unckown,"Cyber Security Engineer, CEHv11, eJPT, CCNA Security",Cyber Security Engineer,unckown,unckown,unckown,unckown
28,Security Network Consultant N3,Network security,Cloud security,Network administration,Security,Firewalls,TCP/IP,unckown,Cyber Security Engineer,Cyber Security Consultant,unckown,unckown,unckown,unckown
29,Security Delivery Senior Analyst,Network Security,Cisco IOS,Palo Alto Networks,Firewalls,Systems Administrator,Research,unckown,Security Delivery Senior Analyst at Accenture,Senior System Administrator,"Management of the System Infrastructure
Design and Implementing of Security enhancement in order to enhance the servers and applications security.
Task Automation with Ansible
Verification and customisation of the collected log with ELK",unckown,unckown,unckown
30,Senior DevOps Engineer,Amazon Web Services (AWS),Ansible,C (Programming Language),SQL,python,Git,Skills: SQL · python · Git · Databases · Java · Linux · Software Development · Docker Products · Elasticsearch · DevOps · Terraform · Jenkins · Kubernetes · Azure Kubernetes Service (AKS) · Identity & Access Management (IAM) · IT Cost Optimization · JIRA administration · Financial Operations · Secure SDLC · Team Coordination · Team Leadership · security in depth · GitOps · Secure Communications · Process Optimization · Service Mesh · Cloud Computing · Performance Tuning · Scalability · High Availability (HA) · Testing Automation · Project Management · IaC · Application Security · Agile Methods · Continuous Integration · Object-Oriented Programming (OP) · Automation · Orchestration · Microservices · Containerization,Senior DevOps Engineer,DevOps Engineer,Skills: SQL · Git · Databases · Java · Linux · Software Development · Docker Products · DevOps · Terraform · Jenkins · Kubernetes · Azure Kubernetes Service (AKS) · Identity & Access Management (IAM) · IT Cost Optimization · JIRA Administration · Team Coordination · Team Leadership · Secure Communications · Process Optimization · Cloud Computing · High Availability (HA) · Project Management · IaC · Application Security · Agile Methods · Continuous Integration · Automation · Orchestration · Microservices · Containerization,unckown,unckown,unckown
31,Network Security Engineer,Linux,Networking,Cisco Technologies,Open Shortest Path First (OSPF),Network security,WAN,unckown,Network Engineer at AXA France - CCNP R&S,Network Security Engineer,unckown,unckown,unckown,unckown
32,N2 Security Support Engineer ,Java,Matlab,Linux,Network Security,IT Audit,Database Administration,"Within the executive B2B division, SFR needs in-depth expertise on several manufacturers.

With the TSC (Technical Support Center) my main missions consist in:

 - Ensure the qualification and diagnosis of incidents related to service platforms (remote or on customer site)

 - Provide reactive support services on customer infrastructure under maintenance contract

- Resolving incidents while respecting SLAs

- Development of models in the context of incident management

- Intervention with customers with on-site assistance

- Participation in the standby service

Security expertise: Checkpoint, Fortinet, F5.",Network & Security Engineer at AUSY,Security Engineer,"Recruited as a Network and Security Engineer, I have as main missions to work on the infrastructure scope of different customers. 
Thus, I am currently working on before of AUSY to Societe Generale (SG) on Val de Fontenay site. 
As part of the group's resources department, I am in charge of network's road openings (internal and external). 
I'll give more details in the mission's description above.

https://www.ausy.fr/en
https://www.societegenerale.com/en/accueil",unckown,unckown,unckown
33,Network and Security Consultant ,Network Security,Information Security,Web Application Security,Network Administration,Cloud Computing,Virtualization,"• Network and Firewall Administration: FortiGate; 
• Email server security via anti-spam solutions: MailInBlack; 
• Vulnerability analysis and detection: Tenable SC, Nessus, FortiAnayzer; 
• Management and assurance of the high availability of services via Backup and Replication solutions;
• Virtualization: VMware, Hyper-V; 
• Continuous and periodic audit of solutions; 
• Team meeting and organization of projects; 
• Preparation of revenue sheets and investigation.","Cyber Security Engineer, fortinet NSE4-SIEM (SPLUNK), Palo Alto, one identity, quick7-tenable.SC - Nessus at Advancia IT SYSTEM",Cyber Security Consultant,"• Analyst and Integrator SPLUNK:
- Creation of new log sources (Firewall, universal forwarder, SNMP, syslog, etc.));
- Development of python scripts;
- Development of SPL requests;
- Development of specific parsers;
- Standardization of logs;
- Creation of alerts, dashboards, customer-oriented lookup;
- Preparation of reports;
- Creation and configuration of security rules;
- Preparation of documentation;
- Meeting and organization of team projects.

• Other features of the position:
- Traceability and identity check with One identity & Wallix,
- Firewall administration, management and configuration: Fortinet, PaloAlto;
- Audit of Web applications using Rapid7, AppSpider;
- Analysis of Web, System (AD, Linux, Windows) and Network vulnerabilities;
- Analysis of client need and drafting of SFDs;
- Virtualization: VMware, Hyper-V;
- Implementation, deployment and configuration of MFA (Multi-factor authentication)[ESA], [FortiToken]",unckown,unckown,unckown
